Date : 2023-12-03 17:24:27
Directory : c:\xampp\htdocs\formshub_app
Total : 525 files,  61418 codes, 7296 comments, 9998 blanks, all 78712 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| PHP                |        411 |     36,747 |      6,055 |      8,761 |     51,563 |
| JSON               |         21 |     16,014 |          0 |         10 |     16,024 |
| JavaScript         |         37 |      3,844 |        884 |        514 |      5,242 |
| CSS                |         23 |      3,230 |        181 |        337 |      3,748 |
| HTML               |          2 |        748 |         33 |        132 |        913 |
| Markdown           |         10 |        455 |          3 |        184 |        642 |
| XML                |         13 |        197 |          7 |         23 |        227 |
| TypeScript         |          4 |        132 |        133 |         35 |        300 |
| JSON with Comments |          1 |         36 |          0 |          1 |         37 |
| Ini                |          2 |         14 |          0 |          0 |         14 |
| YAML               |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        525 |     61,418 |      7,296 |      9,998 |     78,712 |
| . (Files)                                                                                                     |         10 |     14,507 |         39 |         98 |     14,644 |
| app                                                                                                           |        158 |     12,315 |      2,574 |      3,146 |     18,035 |
| app\Actions                                                                                                   |         15 |        616 |        203 |        169 |        988 |
| app\Actions\Fortify                                                                                           |          8 |        363 |        139 |        102 |        604 |
| app\Actions\Jetstream                                                                                         |          7 |        253 |         64 |         67 |        384 |
| app\Console                                                                                                   |          1 |         42 |         12 |         10 |         64 |
| app\Events                                                                                                    |          3 |         67 |         31 |         24 |        122 |
| app\Exceptions                                                                                                |          1 |         21 |         23 |          7 |         51 |
| app\Guards                                                                                                    |          1 |         12 |         43 |          9 |         64 |
| app\Http                                                                                                      |         73 |      9,770 |      1,749 |      2,439 |     13,958 |
| app\Http (Files)                                                                                              |          1 |         43 |         21 |         10 |         74 |
| app\Http\Controllers                                                                                          |         24 |      1,604 |        329 |        451 |      2,384 |
| app\Http\Controllers (Files)                                                                                  |         13 |      1,245 |        238 |        358 |      1,841 |
| app\Http\Controllers\Auth                                                                                     |          9 |        246 |         60 |         70 |        376 |
| app\Http\Controllers\api                                                                                      |          2 |        113 |         31 |         23 |        167 |
| app\Http\Controllers\api\v01                                                                                  |          2 |        113 |         31 |         23 |        167 |
| app\Http\Livewire                                                                                             |         34 |      7,896 |      1,286 |      1,895 |     11,077 |
| app\Http\Livewire (Files)                                                                                     |         28 |      5,990 |        890 |      1,422 |      8,302 |
| app\Http\Livewire\Forms                                                                                       |          3 |      1,357 |        333 |        328 |      2,018 |
| app\Http\Livewire\Forms\Edit                                                                                  |          1 |        687 |        142 |        176 |      1,005 |
| app\Http\Livewire\Forms\Previews                                                                              |          1 |        276 |         48 |         62 |        386 |
| app\Http\Livewire\Forms\Templates                                                                             |          1 |        394 |        143 |         90 |        627 |
| app\Http\Livewire\signPdf                                                                                     |          3 |        549 |         63 |        145 |        757 |
| app\Http\Middleware                                                                                           |         11 |        145 |         81 |         57 |        283 |
| app\Http\Requests                                                                                             |          2 |         69 |         26 |         21 |        116 |
| app\Http\Requests (Files)                                                                                     |          1 |         17 |          5 |          4 |         26 |
| app\Http\Requests\Auth                                                                                        |          1 |         52 |         21 |         17 |         90 |
| app\Http\Responses                                                                                            |          1 |         13 |          6 |          5 |         24 |
| app\Jobs                                                                                                      |          3 |         77 |         24 |         23 |        124 |
| app\Models                                                                                                    |         41 |      1,056 |        125 |        304 |      1,485 |
| app\Notifications                                                                                             |          8 |        291 |        205 |         61 |        557 |
| app\Policies                                                                                                  |          1 |         75 |         25 |         20 |        120 |
| app\Providers                                                                                                 |          7 |        197 |         77 |         50 |        324 |
| app\Rules                                                                                                     |          2 |         66 |         51 |         22 |        139 |
| app\View                                                                                                      |          2 |         25 |          6 |          8 |         39 |
| app\View\Components                                                                                           |          2 |         25 |          6 |          8 |         39 |
| bootstrap                                                                                                     |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                        |         18 |        635 |      1,007 |        303 |      1,945 |
| database                                                                                                      |         18 |        446 |        154 |         85 |        685 |
| database\factories                                                                                            |          2 |         63 |         30 |         13 |        106 |
| database\migrations                                                                                           |         16 |        383 |        124 |         72 |        579 |
| lang                                                                                                          |         10 |        333 |        140 |         57 |        530 |
| lang\ar                                                                                                       |          5 |        167 |         70 |         28 |        265 |
| lang\en                                                                                                       |          5 |        166 |         70 |         29 |        265 |
| public                                                                                                        |         96 |     10,136 |      1,220 |      1,131 |     12,487 |
| public (Files)                                                                                                |          1 |         14 |         30 |         12 |         56 |
| public\KioskBoard-main                                                                                        |         45 |      5,285 |        671 |        871 |      6,827 |
| public\KioskBoard-main (Files)                                                                                |         11 |        620 |        136 |        182 |        938 |
| public\KioskBoard-main\.dev                                                                                   |          4 |        231 |         84 |         26 |        341 |
| public\KioskBoard-main\.github                                                                                |          3 |         46 |          0 |         14 |         60 |
| public\KioskBoard-main\.github (Files)                                                                        |          1 |          1 |          0 |          1 |          2 |
| public\KioskBoard-main\.github\ISSUE_TEMPLATE                                                                 |          2 |         45 |          0 |         13 |         58 |
| public\KioskBoard-main\build                                                                                  |          2 |        699 |        167 |         93 |        959 |
| public\KioskBoard-main\dist                                                                                   |         12 |        364 |          3 |          4 |        371 |
| public\KioskBoard-main\docs                                                                                   |         10 |      1,969 |         79 |        345 |      2,393 |
| public\KioskBoard-main\docs (Files)                                                                           |          6 |      1,855 |         79 |        344 |      2,278 |
| public\KioskBoard-main\docs\images                                                                            |          4 |        114 |          0 |          1 |        115 |
| public\KioskBoard-main\src                                                                                    |          3 |      1,356 |        202 |        207 |      1,765 |
| public\images                                                                                                 |         10 |         68 |          5 |         21 |         94 |
| public\images\flags                                                                                           |          4 |         41 |          4 |         16 |         61 |
| public\images\survey_types                                                                                    |          2 |         14 |          0 |          0 |         14 |
